0220102S,12,0,6,6,0,0,0
0220116G,39,0,23,12,2,2,0
0220116G,17,0,7,6,3,1,0
0220117H,10,0,2,4,4,0,0
0220196U,9,0,6,3,0,0,0
0221036G,27,0,1,14,9,3,0
0221589H,13,0,11,2,0,0,0
0221673Z,14,0,7,6,1,0,0
0221673Z,17,0,7,10,0,0,0
0230002C,14,0,8,2,3,1,0
0230018V,8,0,5,2,1,0,0
0230030H,7,0,4,3,0,0,0
0230030H,10,0,6,2,2,0,0
0240005A,22,0,13,6,3,0,0
0240023V,6,0,2,2,1,1,0
0240024W,30,0,3,6,17,4,0
0593117T,4,0,0,2,1,1,0
0240025X,47,0,16,27,3,1,0
0250007X,44,0,0,1,8,32,3
0250010A,15,0,2,5,7,1,0
0250010A,10,0,3,5,2,0,0
0250010A,12,0,6,4,1,1,0
0250011B,15,0,9,4,1,1,0
0250011B,8,0,3,2,1,2,0
0250011B,17,0,4,9,3,1,0
0251994G,18,0,7,5,3,3,0
0251018W,117,0,26,61,30,0,0
0251018W,49,0,3,22,18,6,0
0251021Z,3,0,1,2,0,0,0
0251028G,14,1,4,7,2,0,0
0251215K,15,0,2,5,6,2,0
0251215K,42,0,17,16,9,0,0
0251215K,20,0,8,8,1,3,0
0251215K,11,0,8,2,1,0,0
0251215K,293,0,76,129,73,13,2
0251215K,2,0,1,1,0,0,0
0251215K,46,0,25,13,6,2,0
0251215K,19,0,10,5,3,1,0
0251711Z,15,0,3,7,5,0,0
0251763F,46,0,13,22,8,3,0
0260023J,11,0,9,2,0,0,0
0260074P,7,0,3,3,1,0,0
0260074P,7,0,2,2,2,1,0
0260765R,6,0,5,1,0,0,0
0260765R,6,0,2,2,2,0,0
0261265J,4,0,3,1,0,0,0
0261372A,23,0,12,8,2,1,0
0270016W,20,0,12,5,2,1,0
0270016W,25,0,11,12,1,1,0
0270017X,11,0,8,2,1,0,0
0270044B,28,0,17,10,1,0,0
0271016H,3,0,0,3,0,0,0
0271107G,11,0,8,2,0,0,0
0271666P,22,0,9,10,3,0,0
0271666P,25,0,7,15,3,0,0
0280019U,23,0,11,10,2,0,0
0280036M,20,0,7,9,4,0,0
0280036M,12,0,9,2,1,0,0
0280044W,7,0,0,5,2,0,0
0750691U,26,0,1,7,16,2,0
0281047L,17,0,11,4,2,0,0
0281077U,26,0,18,5,3,0,0
0290007A,79,0,0,1,30,40,8
0290013G,20,0,7,10,3,0,0
0290013G,14,0,6,5,3,0,0
0290044R,14,0,6,6,2,0,0
0290051Y,7,0,1,2,3,1,0
0290070U,12,0,3,6,2,1,0
0290070U,15,0,11,2,0,1,0
0290108K,16,0,8,7,0,1,0
0290156M,8,0,1,4,2,1,0
0290170C,3,0,0,2,1,0,0
0290170C,25,0,10,12,3,0,0
0290181P,41,0,14,15,12,0,0
0290334F,33,0,1,10,19,2,1
0290334F,125,0,20,72,32,1,0
0290346U,116,0,39,44,28,5,0
0290346U,9,0,2,4,3,0,0
0290346U,1,0,1,0,0,0,0
0290352A,31,0,18,10,2,0,1
0291574D,1,0,1,0,0,0,0
0311383K,38,0,12,15,9,2,0
0291660X,23,0,10,6,6,1,0
0291842V,8,0,6,2,0,0,0
0292047T,10,0,8,2,0,0,0
0292185T,24,0,2,13,8,1,0
0300002P,12,0,6,5,1,0,0
0300026R,9,0,4,5,0,0,0
0300026R,20,0,9,6,4,1,0
0300027S,20,0,7,10,3,0,0
0300027S,17,0,3,11,3,0,0
0300027S,38,0,9,16,12,1,0
0300080Z,13,0,4,7,2,0,0
0300127A,24,0,14,8,2,0,0
0300127A,25,0,16,6,2,0,1
0300139N,13,0,2,10,1,0,0
0300950V,10,0,7,2,1,0,0
0301433V,1,0,0,1,0,0,0
0301552Z,26,0,6,11,6,3,0
0301687W,177,0,77,66,24,10,0
0301687W,84,0,37,28,13,6,0
0310036W,34,0,0,0,17,14,3
0310038Y,47,0,0,0,5,38,4
0310039Z,25,0,13,9,3,0,0
0310040A,21,0,6,6,8,1,0
0310041B,139,0,0,9,58,67,5
0310041B,47,0,0,0,12,30,5
0310046G,17,0,4,5,6,2,0
0310047H,68,0,5,29,30,4,0
0310150V,68,0,3,7,43,14,1
0310155A,9,0,2,2,5,0,0
0310155A,12,0,4,3,4,0,1
0311086M,136,0,2,38,80,15,1
0311177L,10,0,4,5,1,0,0
0312408Z,84,0,1,6,46,29,2
0311177L,30,0,16,10,4,0,0
0311177L,22,0,7,11,2,2,0
0311213A,8,0,5,0,2,1,0
0311213A,16,0,6,9,1,0,0
0311262D,28,0,8,10,9,1,0
0311262D,28,0,9,12,6,1,0
0311382J,78,0,1,10,44,23,0
0311383K,16,0,5,8,3,0,0
0311383K,24,0,5,8,8,2,1
0311383K,200,0,106,63,28,1,2
0311384L,403,0,123,165,99,13,3
0311384L,33,0,14,15,3,1,0
0311384L,64,0,26,25,13,0,0
0311384L,420,0,131,135,118,35,1
0311586F,22,0,4,14,4,0,0
0311713U,34,0,16,10,8,0,0
0312267W,10,0,0,3,4,2,1
0312267W,10,0,0,1,3,6,0
0312267W,11,0,1,2,4,4,0
0312290W,17,0,3,8,6,0,0
0312822Z,8,0,6,1,1,0,0
0320039U,3,0,1,2,0,0,0
0320067Z,12,0,4,8,0,0,0
0320633P,29,0,15,10,4,0,0
0330023W,47,0,0,0,9,34,4
0330028B,94,0,0,1,46,46,1
0330028B,95,0,0,8,59,28,0
0330028B,20,0,13,5,2,0,0
0330028B,50,0,21,21,7,1,0
0330028B,30,0,7,9,12,2,0
0330028B,51,0,17,20,13,1,0
0330029C,18,0,11,7,0,0,0
0330126H,23,0,9,11,3,0,0
0330135T,11,0,4,6,1,0,0
0330135T,22,0,6,5,10,1,0
0330169E,14,0,0,0,6,7,1
0330203S,10,0,0,0,4,6,0
0331420P,34,0,9,15,8,2,0
0331420P,34,0,3,14,12,4,1
